code,name,market,market_cap,naver_group,best_sector,best_corr,2nd_sector,2nd_corr,3rd_sector,3rd_corr
104830,원익머트리얼즈,KOSDAQ,6184,화학,반도체_소재부품,0.95,반도체_중소형,0.8957,반도체_대형,0.8925
001500,현대차증권,KOSPI,6950,증권,증권,0.9323,보험,0.9005,은행,0.8681
078020,LS증권,KOSDAQ,4172,증권,증권,0.9228,원전,0.8356,건자재,0.8323
092870,엑시콘,KOSDAQ,4391,반도체와반도체장비,반도체_장비,0.9207,반도체_중소형,0.897,반도체_대형,0.8598
080580,오킨스전자,KOSDAQ,5367,반도체와반도체장비,반도체_장비,0.9191,반도체_중소형,0.8912,디스플레이,0.8824
077360,덕산하이메탈,KOSDAQ,8255,반도체와반도체장비,디스플레이,0.9186,반도체_장비,0.911,반도체_중소형,0.8876
042600,새로닉스,KOSDAQ,2478,가정용기기와용품,2차전지_셀,0.9085,2차전지_소재부품,0.7513,반도체_대형,0.7135
033240,자화전자,KOSPI,9841,통신장비,디스플레이,0.9048,반도체_중소형,0.8674,반도체_장비,0.826
455900,엔젤로보틱스,KOSDAQ,4391,건강관리장비와용품,로봇,0.9042,자동차_부품,0.7661,바이오_임상단계,0.6818
445180,퓨릿,KOSDAQ,1873,반도체와반도체장비,반도체_소재부품,0.9041,반도체_대형,0.8886,반도체_중소형,0.8507
402340,SK스퀘어,KOSPI,1547871,복합기업,반도체_대형,0.9034,반도체_중소형,0.8559,정유,0.8527
252990,샘씨엔에스,KOSDAQ,7527,반도체와반도체장비,반도체_중소형,0.9024,반도체_소재부품,0.9009,반도체_장비,0.8983
289930,웨이비스,KOSDAQ,2248,우주항공과국방,우주·위성,0.8984,시멘트,0.8483,건자재,0.7776
003570,SNT다이내믹스,KOSPI,16892,자동차부품,방산,0.898,화장품_ODM,0.7184,생활용품,0.6702
110990,디아이티,KOSDAQ,4696,디스플레이장비및부품,반도체_중소형,0.8954,반도체_장비,0.8844,반도체_소재부품,0.8382
089790,제이티,KOSDAQ,660,반도체와반도체장비,반도체_중소형,0.8945,반도체_소재부품,0.8547,반도체_장비,0.8409
420770,기가비스,KOSDAQ,16174,반도체와반도체장비,반도체_장비,0.8941,반도체_중소형,0.8496,디스플레이,0.8193
000540,흥국화재,KOSPI,2544,손해보험,보험,0.8925,증권,0.8364,물류·육운,0.7713
011700,한신기계,KOSPI,1348,기계,원전,0.892,증권,0.7844,B2B_IT서비스,0.7461
000880,한화,KOSPI,98358,복합기업,방산,0.8902,보험,0.7537,B2B_IT서비스,0.7234
383310,에코프로에이치엔,KOSDAQ,5841,상업서비스와공급품,2차전지_소재부품,0.886,2차전지_셀,0.8124,디스플레이,0.764
158430,아톤,KOSDAQ,1850,소프트웨어,AI_인프라,0.8852,보험,0.7482,방산,0.6648
136490,선진,KOSPI,2435,식품,레저·여행,0.8843,에너지유틸리티,0.8292,생활용품,0.8129
035600,KG이니시스,KOSDAQ,2887,IT서비스,핀테크·결제,0.8819,AI_인프라,0.8593,은행,0.8577
004150,한솔홀딩스,KOSPI,1542,복합기업,보험,0.8819,레저·여행,0.8587,AI_인프라,0.8082
327260,RF머트리얼즈,KOSDAQ,9752,우주항공과국방,반도체_장비,0.8819,반도체_대형,0.8347,반도체_소재부품,0.8234
094280,효성ITX,KOSPI,1454,상업서비스와공급품,AI_인프라,0.8815,레저·여행,0.7856,에너지유틸리티,0.7621
092070,디엔에프,KOSDAQ,2725,반도체와반도체장비,반도체_중소형,0.8801,반도체_소재부품,0.8619,디스플레이,0.8228
240550,동방메디컬,KOSDAQ,1595,건강관리장비와용품,화장품_ODM,0.8796,화장품_브랜드,0.87,레저·여행,0.8643
001200,유진투자증권,KOSPI,5763,증권,증권,0.8778,보험,0.8064,물류·육운,0.7983
