code,name,market,price,market_cap,trade_amt,group_name
023530,롯데쇼핑,KOSPI,106000,0,115,백화점과일반상점
004170,신세계,KOSPI,359500,0,178,백화점과일반상점
282330,BGF리테일,KOSPI,126000,0,55,백화점과일반상점
069960,현대백화점,KOSPI,87200,0,57,백화점과일반상점
007070,GS리테일,KOSPI,19370,0,11,백화점과일반상점
037710,광주신세계,KOSPI,38500,0,2,백화점과일반상점
008770,호텔신라,KOSPI,43100,0,20,백화점과일반상점
950170,JTC,KOSDAQ,5150,0,5,백화점과일반상점
139480,이마트,KOSPI,94400,0,138,백화점과일반상점
452260,한화갤러리아,KOSPI,2605,0,77,백화점과일반상점
071320,지역난방공사,KOSPI,88300,0,12,복합유틸리티
382800,지앤비에스 에코,KOSDAQ,4270,0,91,반도체와반도체장비
024850,HLB이노베이션,KOSDAQ,3880,0,148,반도체와반도체장비
095340,ISC,KOSDAQ,215500,0,553,반도체와반도체장비
319660,피에스케이,KOSDAQ,73100,0,432,반도체와반도체장비
003160,디아이,KOSPI,35900,0,215,반도체와반도체장비
429270,시지트로닉스,KOSDAQ,4380,0,15,반도체와반도체장비
033160,엠케이전자,KOSDAQ,15950,0,391,반도체와반도체장비
170920,엘티씨,KOSDAQ,24200,0,68,반도체와반도체장비
226590,엠디바이스,KOSDAQ,28750,0,125,반도체와반도체장비
052860,아이앤씨,KOSDAQ,3765,0,27,반도체와반도체장비
417500,제이아이테크,KOSDAQ,5260,0,205,반도체와반도체장비
241770,메카로,KOSDAQ,29250,0,22,반도체와반도체장비
031980,피에스케이홀딩스,KOSDAQ,110300,0,222,반도체와반도체장비
093640,케이알엠,KOSDAQ,5860,0,14,반도체와반도체장비
131290,티에스이,KOSDAQ,113000,0,72,반도체와반도체장비
166090,하나머티리얼즈,KOSDAQ,61900,0,93,반도체와반도체장비
092870,엑시콘,KOSDAQ,31500,0,81,반도체와반도체장비
432720,퀄리타스반도체,KOSDAQ,14710,0,155,반도체와반도체장비
355150,코스텍시스,KOSDAQ,23950,0,138,반도체와반도체장비
078350,한양디지텍,KOSDAQ,26400,0,62,반도체와반도체장비
064520,테크엘,KOSDAQ,1734,0,1,반도체와반도체장비
131970,두산테스나,KOSDAQ,71800,0,280,반도체와반도체장비
425420,티에프이,KOSDAQ,58000,0,140,반도체와반도체장비
000660,SK하이닉스,KOSPI,949500,0,20840,반도체와반도체장비
440110,파두,KOSDAQ,68800,0,535,반도체와반도체장비
102710,이엔에프테크놀로지,KOSDAQ,58500,0,25,반도체와반도체장비
